Id,Text,Sentiment,% of sentiment,Senti_rate
20009,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the,fear,0.92,1
10764,Don't be,anger,0.292,0
30150,"And by the way, Takeru's eyes sparkling while eating was like the cutest thing",joy,0.688,3
21020,Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start,fear,0.25,1
40613,@courtneymee I'm 3 days sober don't wanna ruin,sadness,0.333,2
20321,@datboyJuniorE lool soon as man start loosing weight. Its,fear,0.604,1
20730,"$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach",fear,0.417,1
20641,someone come to fright world w,fear,0.458,1
30308,talk about a mood pickup i went from depressed to elated so,joy,0.56,3
40552,"I'm onto you, @Sargon_of_Akkad, I know you secretly pine for a masculine order, objective morality, and disciplined transcendent",sadness,0.375,2
30763,"@alphavenger all chuck seasons, she had that one bright spot with dan, where she was allowed to be smart and kind //and//",joy,0.189,3
30223,"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #lol",joy,0.625,3
40626,ordered my vacation bathing suits. one less thing to fret,sadness,0.312,2
30333,"her fingers slide along your thighs, caressing the skin before she's leaning down, down, down and the first lick is teasing n",joy,0.54,3
30604,don't put famous dex in a tweet with breezy lol chris is that guy dex a bitch lmao n music,joy,0.354,3
10793,These #NewEnglandPatriots jerseys look like some whack ones that you tried to make when you made custom jerseys on #madden,anger,0.271,0
30436,"repentance, and trusting in Christ. It is lowly and painful, but it is also joyous, peaceful, and absolutely glorious.",joy,0.479,3
40387,"@Nataliem55 sadly, war has often been the factor that jump starts US economic",sadness,0.479,2
30247,"It's not that the man did not know how to juggle, he just didn't have the balls to do it. \n #funny #pun #punny",joy,0.604,3
40609,"@holly_lolly7 I just have serious respect for any man that can pull off a bun better than I can, like maybe they can teach me their",sadness,0.333,2
30599,Be free and open and breezy! Enjoy! Things won't get any better so get used to,joy,0.354,3
40320,It's become a verb. 'I'm gonna VillaseÃ±or all those old contacts I don't need anymore.' #sadness @melissavcomedy,sadness,0.542,2
21019,if you do me wrong i will not hesitate to block you and cut you out of my life completely ðŸ˜‡ it's one of my greatest,fear,0.25,1
10725,Projection is perception. See it in someone else? You also at some level have that within you.,anger,0.333,0
30774,remember when glee did a take me or leave me cover but it was between two girls who werent even friends why did that do,joy,0.167,3
40578,Learning how to use twitter,sadness,0.354,2
10057,I'm nothing but a hateful and bitter,anger,0.75,0
10311,@Deadspin @jrzy_boy This is about him being left off because they wanted to play a heavier game. We needed his offense tho. Amongst,anger,0.542,0
40301,I mourn the creativity,sadness,0.562,2
20660,"@aroseblush Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended",fear,0.438,1
20880,@Jchawes What is your favorite #horror movie?,fear,0.342,1
10598,"If you let a general tweet offend you, you definitely shouldn't be on",anger,0.417,0
20470,@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness,fear,0.542,1
30744,.@POTUS Obama describes his temperament as 'steady &amp; on the buoyant,joy,0.22,3
30088,@madisenrb she's so sweet &amp; playful,joy,0.771,3
20214,Idk if it's hella hot in here or I'm,fear,0.68,1
20897,"As much as I want a normal little life.. It wouldn't suit me, I'd get restless, I need to just do what I want at all times to be happy",fear,0.333,1
10142,i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN,anger,0.667,0
10306,@kingcharles9th i Lowkey forgot you had twitter and if you don't follow me back im gonna be,anger,0.421,0
40309,"For a team as big as Bayern and the they like to play football, their pitch is fucking dreadful. Certainly no Emirates pitch",sadness,0.542,2
20664,Tomorrow is the day I cut and dye my hair! ðŸ˜³,fear,0.438,1
30510,@PeanutRD @MelissaJoyRD @SarahKoszykRD @eat4performance @rustnutrition @jenhaugen hey #sparkling is the word I just picked 4 my biz,joy,0.417,3
10120,@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice,anger,0.688,0
30709,@ryanwilson2015 That's why compatibility is key as it lowers hedonic,joy,0.25,3
10435,I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge,anger,0.479,0
20326,How can America be so openly embracing,fear,0.604,1
40441,@BTS_twt people have so much negativity filled inside them but im always happy that in such a gloomy world someone like u exists,sadness,0.45,2
40273,@DoubleEph sadly his best days are behind,sadness,0.583,2
40524,â€œThe immense importance of football is sometimes scary. When you donâ€™t win you are responsible for so many unhappy people.â€ - Arsene,sadness,0.396,2
40274,"@groovydadad @MHChat ðŸ™‚ty I often conflate the two depression + sadness, but they are very different. This q reminded me of that",sadness,0.583,2
20095,I seem to alternate between 'sleep-full' and sleepless nights. Tonight is a sleepless one. ðŸ˜• #insomnia #anxiety,fear,0.792,1
10243,@TheOneSoleShoe that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we,anger,0.583,0
40187,"@X_KIMTAEHYUNG_X \nâ€” momentarily before it disappeared, only solemnity and anxiety lacing his features. \n\n'I ran out to get you before",sadness,0.646,2
10176,the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap,anger,0.646,0
30702,Fee otherwise tricks: palm oil delegation mt jaunty resident:,joy,0.269,3
20228,We ashamed of being an ally to you. Pakistan sacrificed almost 50000 civilians by siding you in war on #terror,fear,0.667,1
20699,So is texting a guy 'I'm ready for sex now' considered flirting?',fear,0.431,1
10726,So Rangers v Celtic ll,anger,0.333,0
40563,"Pops are joyless, soulless toys which look nearly identical. They are the perfect expression of consumerism. 'I enjoy this",sadness,0.354,2
30303,Rec'd call 2day from Haitian church we started in Florida some 15yrs ago. Preparing to acquire their own bldg. Wanted me to know.,joy,0.56,3
40030,People stealing things from my work out quite the damper on my day so now I am going to wear pajamas all,sadness,0.833,2
10820,pray for my boy,anger,0.208,0
10110,"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go",anger,0.708,0
20025,Super shitting it about this tattoo,fear,0.88,1
40723,Let the #MrRobot binge begin. #nerdshow #compelling,sadness,0.229,2
20531,a #monster is only a #monster if you view him through,fear,0.5,1
20851,Oh I get i see it's #TexasTech playing tonight not the #Texans #TNF #texansarebad,fear,0.354,1
30690,Rec'd call 2day from Haitian church we started in Florida some 15yrs ago. Preparing to acquire their own bldg. Wanted me to,joy,0.28,3
20604,Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding,fear,0.475,1
10550,@xandraaa5 @amayaallyn6 shut up hashtags are,anger,0.438,0
30399,What if.... the Metro LRT went over the Walterdale?!?! ðŸ˜‚ #yeg,joy,0.5,3
20752,Forgot to plug the phone in,fear,0.396,1
30762,I was cheering for NA team. Now I just want this is over and Gaudreau comes back in one piece. It is getting way too,joy,0.192,3
20019,Cosplaying properly for the first time on Saturday! Pretty,fear,0.896,1
20762,Halloween party coming soon! #turnt #ruinT #lit #firesauce #hotsauce #mildsauce #getsauced #champagnedreams #scary,fear,0.396,1
20500,"I hate that if I don't start the conversation, there won't be",fear,0.521,1
20648,@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think theyâ€™re fighting,fear,0.458,1
10815,I think they may,anger,0.229,0
30079,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym,joy,0.78,3
20892,@MichaelSalfino It still destroys Fear The Walking Dead. That show is,fear,0.333,1
20444,Forgot to plug the phone in overnight,fear,0.542,1
20734,... in the same speech. However he did mention foreign hand and funding in terrorism in the country.,fear,0.417,1
40038,come to the funeral tomorrow at 12 to mourn the death of my,sadness,0.833,2
30481,"@IndieWire @cinemaeyehonors #WaltzWithBashir was incredible, tho I think it's more of an #animated film than #documentary about #Lebanon",joy,0.44,3
10259,@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards,anger,0.583,0
30707,The Quarterback' wrecks me every,joy,0.26,3
30296,#smile every morning to a positive head start with your #clients,joy,0.562,3
40434,Im so serious about putting words in my mouth bitch don't add ' the ' to my sentence if I didn't say that shit on,sadness,0.458,2
10293,if we let that in id be fuming poor,anger,0.562,0
40435,@theflabar It's a #foggy and #dark morning here - so #filter this time. For #lighting purposes.,sadness,0.458,2
